CALADERO;A3_ESP;ESPECIE;t_max;t_min;t_max_corregida;t_min_corregida;t_max_final;t_min_final
AC;SLI;Molva macrophthalma;120;50;;;120;50
CN;SLI;Molva macrophthalma;160;26;135;;135;26
AC;LIN;Molva molva;163;31;;;163;31
CN;LIN;Molva molva;131;36;;;131;36
CN;RIB;Mora moro;69;38;;;69;38
CN;MUF;Mugil cephalus;49;35;;;49;35
GC;MUF;Mugil cephalus;60;34;;;60;34
CN;MUL;Mugilidae;53;31;;;53;31
CN;MUF;Mugil cephalus;49;35;;;49;35
AC;MUR;Mullus surmuletus;49;13;;;49;13
AC;MUT;Mullus barbatus;45;30;;;45;30
CN;MUR;Mullus surmuletus;44;11;;;44;11
CN;MUT;Mullus barbatus;36;21;;;36;21
CN;BIB;Trisopterus luscus;50;11;;;50;11
GC;MUR;Mullus surmuletus;42;5;;;42;5
GC;MUT;Mullus barbatus;32;7;;;32;7
GC;MUE;Murex spp;1;1;;;1;1
CN;SDS;Mustelus asterias;96;85;;;96;85
CN;SMD;Mustelus mustelus;135;88;;;135;88
GC;SMD;Mustelus mustelus;148;51;;;148;51
GC;MYL;Myliobatis aquila;170;80;;;170;80
AC;NEP;Nephrops norvegicus;10.6;2;;;10.6;2
CN;NEP;Nephrops norvegicus;40;2.1;;;40;2.1
GC;NEP;Nephrops norvegicus;7.7;1.6;6.8;;6.8;1.6
CN;SBS;Oblada melanura;34;20;;;34;20
GC;SBS;Oblada melanura;22;21;;;22;21
CN;OCC;Octopus vulgaris;30;5;;;30;5
GC;OCC;Octopus vulgaris;34;3;27;;27;3
AC;TDQ;Todaropsis eblanae;34;7;;;34;7
AC;SQM;Illex coindetii;41;7;;;41;7
AC;OMZ;Ommastrephidae;20;14;;;20;14
AC;SQE;Todarodes sagittatus;32;25;;;32;25
AC;ILL;Illex spp;33;9;;;33;9
CN;TDQ;Todaropsis eblanae;39;4;;;39;4
CN;SQM;Illex coindetii;42;5;;;42;5
CN;SQE;Todarodes sagittatus;48;9;;;48;9
CN;OMZ;Ommastrephidae;50;6;;;50;6
CN;ILL;Illex spp;43;18;;;43;18
GC;SQM;Illex coindetii;33;3;;;33;3
GC;TDQ;Todaropsis eblanae;22;5;;;22;5
GC;OMZ;Ommastrephidae;28;6;;;28;6
GC;SQE;Todarodes sagittatus;42;10;;;42;10
AC;SBA;Pagellus acarne;34;21;;;34;21
CN;SBA;Pagellus acarne;55;16;;;55;16
GC;SBA;Pagellus acarne;41;14;32;;32;14
GC;PAR;Pagellus bellottii;41;12;28;;28;12
AC;SBR;Pagellus bogaraveo;63;20;;;63;20
CN;SBR;Pagellus bogaraveo;58;17;;;58;17
GC;SBR;Pagellus bogaraveo;62;21;;;62;21
CN;PAC;Pagellus erythrinus;51;16;;;51;16
GC;PAC;Pagellus erythrinus;40;14;;;40;14
GC;REA;Pagrus auriga;105;17;55;;55;17
AC;RPG;Pagrus pagrus;48;48;;;48;48
CN;RPG;Pagrus pagrus;65;20;;;65;20
GC;RPG;Pagrus pagrus;150;18;50;;50;18
CN;DPS;Parapenaeus longirostris;4.3;1.5;;;4.3;1.5
GC;DPS;Parapenaeus longirostris;4.8;1.05;;;4.8;1.05
CN;SOS;Pegusa lascaris;33;17;;;33;17
CN;CET;Dicologlossa cuneata;35;15;;;35;15
GC;SOS;Pegusa lascaris;22;17;;;22;17
GC;TGS;Penaeus kerathurus;6;1.4;;;6;1.4
AC;GFB;Phycis blennoides;79;22;;;79;22
CN;GFB;Phycis blennoides;70;17;;;70;17
GC;GFB;Phycis blennoides;54;15;;;54;15
GC;FOX;Phycis spp;27;24;;;27;24
AC;FOR;Phycis phycis;67;59;;;67;59
CN;FOR;Phycis phycis;68;22;;;68;22
GC;FOR;Phycis phycis;29;18;;;29;18
AC;FLE;Platichthys flesus;47;21;;;47;21
CN;FLE;Platichthys flesus;52;24;42;;42;24
GC;GBR;Plectorhinchus mediterraneus;36;24;;;36;24
CN;LKO;Plesionika heterocarpus;4.5;1.2;;;4.5;1.2
AC;PLE;Pleuronectes platessa;54;27;;;54;27
CN;PLE;Pleuronectes platessa;48;28;;;48;28
AC;POL;Pollachius pollachius;94;36;;;94;36
CN;POL;Pollachius pollachius;109;15;;;109;15
AC;POK;Pollachius virens;114;46;;;114;46
CN;POK;Pollachius virens;41;36;;;41;36
AC;WRF;Polyprion americanus;104;50;;;104;50
CN;WRF;Polyprion americanus;79;38;;;79;38
GC;BGR;Pomadasys incisus;26;17;;;26;17
GC;BLU;Pomatomus saltatrix;71;18;55;;55;18
CN;POI;Pontinus kuhlii;30;30;;;30;30
GC;MPO;Pteromylaeus bovinus;110;28;;;110;28
AC;RJC;Raja clavata;105;38;;;105;38
CN;RJC;Raja clavata;104;19;;;104;19
CN;JAI;Raja miraletus;81;30;;;81;30
AC;RJM;Raja montagui;97;50;;;97;50
CN;RJM;Raja montagui;109;22;;;109;22
CN;RJU;Raja undulata;95;43;;65;95;65
GC;RJU;Raja undulata;86;42;;;86;42
AC;RJB;Dipturus batis;142;22;135;;135;22
AC;RJN;Leucoraja naevus;95;35;;;95;35
AC;RJC;Raja clavata;105;38;;;105;38
AC;RJO;Dipturus oxyrinchus;118;40;;;118;40
AC;RJF;Leucoraja fullonica;101;42;;;101;42
AC;RJI;Leucoraja circularis;112;46;;;112;46
AC;RJM;Raja montagui;97;50;;;97;50
AC;JRS;Raja asterias;73;56;;;73;56
AC;RJU;Raja undulata;120;56;88;;88;56
AC;RAJ;Rajidae;86;83;;;86;83
AC;RJK;Dipturus linteus;83;83;;;83;83
AC;RJH;Raja brachyura;89;86;;;89;86
AC;RJE;Raja microocellata;93;93;;;93;93
CN;RJC;Raja clavata;104;19;;;104;19
CN;JAI;Raja miraletus;81;30;;;81;30
CN;RJN;Leucoraja naevus;83;30;;;83;30
CN;RJM;Raja montagui;109;22;;;109;22
CN;RJO;Dipturus oxyrinchus;138;39;;;138;39
CN;RJI;Leucoraja circularis;101;40;;;101;40
CN;RJU;Raja undulata;95;43;;;95;43
CN;RJH;Raja brachyura;94;34;;;94;34
CN;RAJ;Rajidae;84;64;;;84;64
CN;RJE;Raja microocellata;75;75;;;75;75
GC;RJC;Raja clavata;125;15;;;125;15
GC;RJO;Dipturus oxyrinchus;107;25;;;107;25
GC;JRS;Raja asterias;84;28;;;84;28
GC;RJN;Leucoraja naevus;73;32;;;73;32
GC;RJM;Raja montagui;125;33;;;125;33
GC;RJU;Raja undulata;86;42;;;86;42
GC;RJA;Rostroraja alba;132;75;;;132;75
GC;RJE;Raja microocellata;83;76;;;83;76
AC;GHL;Reinhardtius hippoglossoides;84;84;;;84;84
CN;ROA;Rossia macrosoma;8;4;;;8;4
CN;OIL;Ruvettus pretiosus;69;69;;;69;69
CN;BON;Sarda sarda;93;21;;;93;21
GC;BON;Sarda sarda;79;23;;;79;23
CN;PIL;Sardina pilchardus;27;9.5;;;27;9.5
GC;PIL;Sardina pilchardus;23;7;;;23;7
GC;SAA;Sardinella aurita;47;21;;;47;21
CN;SLM;Sarpa salpa;50;27;;;50;27
GC;SLM;Sarpa salpa;21;18;;;21;18
CN;VMA;Scomber colias;47;17;;;47;17
CN;MAC;Scomber scombrus;54;12;;;54;12
GC;VMA;Scomber colias;43;11;;;43;11
CN;MAC;Scomber scombrus;54;12;;;54;12
GC;MAC;Scomber scombrus;40;12;;;40;12
GC;MAZ;Scomber spp;34;19;;;34;19
CN;SAU;Scomberesox saurus saurus;57;19;;;57;19
GC;SAU;Scomberesox saurus saurus;55;35;;;55;35
AC;TUR;Scophthalmus maximus;80;27;;;80;27
CN;TUR;Scophthalmus maximus;93;27;76;;76;27
GC;TUR;Scophthalmus maximus;61;16;;;61;16
AC;BLL;Scophthalmus rhombus;57;28;;;57;28
CN;BLL;Scophthalmus rhombus;62;28;;;62;28
GC;BLL;Scophthalmus rhombus;55;25;;;55;25
CN;SCS;Scorpaena spp;54;26;;;54;26
GC;SNQ;Scorpaena notata;30;5;;;30;5
GC;RSE;Scorpaena scrofa;40;8;;;40;8
AC;XSX;Scorpaeniformes;54;29;;;54;29
AC;RSE;Scorpaena scrofa;39;30;;;39;30
CN;TZY;Trachyscorpia cristulata echinata;49;16;;;49;16
CN;RSE;Scorpaena scrofa;54;14;;;54;14
CN;TJX;Trachyscorpia cristulata;45;31;;;45;31
CN;XSX;Scorpaeniformes;52;21;;;52;21
CN;BBS;Scorpaena porcus;50;22;;;50;22
CN;SNQ;Scorpaena notata;48;28;;;48;28
GC;SNQ;Scorpaena notata;30;5;;;30;5
GC;BBS;Scorpaena porcus;18;6;;;18;6
GC;BRF;Helicolenus dactylopterus;39;8;;;39;8
GC;RSE;Scorpaena scrofa;40;8;29;;29;8
AC;SYC;Scyliorhinus canicula;93;40;88;;88;40
CN;SYC;Scyliorhinus canicula;74;21;;;74;21
GC;SYC;Scyliorhinus canicula;78;28;;;78;28
CN;SYT;Scyliorhinus stellaris;87;87;;;87;87
AC;IAR;Sepia orbignyana;11;6;;;11;6
AC;CTC;Sepia officinalis;30;6;;;30;6
AC;EJE;Sepia elegans;10;10;;;10;10
AC;IAX;Sepia spp;23;19;;;23;19
CN;IAR;Sepia orbignyana;16;3;;;16;3
CN;EJE;Sepia elegans;14;3;;;14;3
CN;CTC;Sepia officinalis;35;3;;;35;3
CN;IAX;Sepia spp;18;3;;;18;3
GC;EJE;Sepia elegans;8;2;;;8;2
GC;CTC;Sepia officinalis;43;2;;;43;2
GC;IAR;Sepia orbignyana;20;3;;;20;3
GC;IAX;Sepia spp;31;7;;;31;7
CN;YTL;Seriola rivoliana;49;49;;;49;49
CN;CBR;Serranus cabrilla;28;14;;;28;14
GC;CBR;Serranus cabrilla;27;14;;;27;14
GC;SRJ;Serranus hepatus;11;9;;;11;9
CN;OAL;Solea senegalensis;31;31;;;31;31
GC;OAL;Solea senegalensis;49;12;;;49;12
AC;SOL;Solea solea;52;23;;;52;23
CN;SOL;Solea solea;54;13;;;54;13
GC;SOL;Solea solea;58;12;;;58;12
AC;SBG;Sparus aurata;63;28;;;63;28
CN;SBG;Sparus aurata;61;27;;;61;27
GC;SBG;Sparus aurata;78;18;;;78;18
GC;TSP;Sphoeroides pachygaster;48;17;;;48;17
GC;YRS;Sphyraena sphyraena;47;42;;;47;42
GC;BPI;Spicara maena;25;12;;;25;12
GC;;Spicara flexuosa;28;16;;;28;16
AC;BRB;Spondyliosoma cantharus;33;23;;;33;23
CN;BRB;Spondyliosoma cantharus;44;15;;;44;15
GC;BRB;Spondyliosoma cantharus;27;15;;;27;15
CN;DGS;Squalus acanthias;96;89;;;96;89
GC;DGS;Squalus acanthias;125;65;;;125;65
GC;MTS;Squilla mantis;5.8;1.2;4.8;;4.8;1.2
CN;YFM;Symphodus melops;27;26;;;27;26
GC;YNU;Synaptura lusitanica;24;16;;;24;16
GC;KSY;Synapturichthys kleinii;45;20;;;45;20
CN;ALB;Thunnus alalunga;64;33;;;64;33
GC;TTR;Torpedo marmorata;82;23;;;82;23
GC;TTV;Torpedo torpedo;61;41;;;61;41
GC;POP;Trachinotus ovatus;38;25;;;38;25
CN;WEG;Trachinus draco;35;15;;;35;15
GC;WEG;Trachinus draco;38;10;;;38;10
AC;HOM;Trachurus trachurus;64;14;;;64;14
AC;HMM;Trachurus mediterraneus;63;36;;;63;36
CN;HOM;Trachurus trachurus;57;7;;;57;7
CN;HMM;Trachurus mediterraneus;53;13;;;53;13
CN;JAA;Trachurus picturatus;38;19;;;38;19
GC;HOM;Trachurus trachurus;44;9;;;44;9
GC;JAA;Trachurus picturatus;58;12;39;;39;12
GC;HMM;Trachurus mediterraneus;42;12;;;42;12
CN;TZY;Trachyscorpia cristulata echinata;49;16;;;49;16
AC;LHT;Trichiurus lepturus;132;98;;;132;98
CN;LHT;Trichiurus lepturus;179;107;;;179;107
AC;GUX;Triglidae;76;21;;;76;21
AC;GUR;Chelidonichthys cuculus;60;21;;;60;21
AC;GUG;Eutrigla gurnardus;54;23;;;54;23
AC;GUU;Chelidonichthys lucerna;73;26;;;73;26
AC;GUN;Trigla lyra;63;24;;;63;24
AC;CTZ;Trigloporus lastoviza;34;28;;;34;28
AC;GUM;Chelidonichthys obscurus;35;32;;;35;32
AC;CTZ;Chelidonichthys lastoviza;34;34;;;34;34
CN;GUM;Chelidonichthys obscurus;36;17;;;36;17
CN;GUN;Trigla lyra;61;12;;;61;12
CN;GUU;Chelidonichthys lucerna;84;15;;;84;15
CN;GUR;Chelidonichthys cuculus;63;12;;;63;12
CN;GUG;Eutrigla gurnardus;56;16;;;56;16
CN;GUX;Triglidae;74;20;;;74;20
CN;CTZ;Trigloporus lastoviza;36;22;;;36;22
CN;CTZ;Chelidonichthys lastoviza;36;21;;;36;21
GC;GUU;Chelidonichthys lucerna;44;12;;;44;12
GC;LDV;Lepidotrigla cavillone;20;14;;;20;14
GC;GUM;Chelidonichthys obscurus;37;14;;;37;14
GC;GUR;Chelidonichthys cuculus;28;15;;;28;15
GC;GUN;Trigla lyra;25;18;;;25;18
GC;CTZ;Trigloporus lastoviza;36;19;;;36;19
GC;LEP;Lepidotrigla dieuzeidei;27;27;;;27;27
CN;BIB;Trisopterus luscus;50;11;;;50;11
AC;POD;Trisopterus minutus;31;13;;;31;13
AC;BIB;Trisopterus luscus;48;15;;;48;15
CN;BIB;Trisopterus luscus;50;11;;;50;11
CN;POD;Trisopterus minutus;35;12;;;35;12
GC;BIB;Trisopterus luscus;51;10;43;;43;10
CN;UCA;Umbrina canariensis;35;29;;;35;29
GC;UCA;Umbrina canariensis;30;21;;;30;21
GC;COB;Umbrina cirrosa;41;9;;;41;9
GC;UMO;Umbrina ronchus;29;20;;;29;20
GC;UUC;Uranoscopus scaber;18;16;;;18;16
CN;SWO;Xiphias gladius;123;71;;;123;71
GC;SWO;Xiphias gladius;127;81;;;127;81
CN;JOS;Zenopsis conchifer;79;20;;;79;20
GC;JOS;Zenopsis conchifer;29;26;;;29;26
AC;JOD;Zeus faber;75;15;;;75;15
CN;JOD;Zeus faber;63;16;;;63;16
GC;JOD;Zeus faber;82;16;;;82;16
